MOI,Time,Cells,Replicate,Cell.line
0.5,6,52.60509,1,Vero E6
0.5,7,62.02098,1,Vero E6
0.5,8,68.39231,1,Vero E6
0.5,9,74.53722,1,Vero E6
0.5,10,79.34917,1,Vero E6
0.5,11,82.96551,1,Vero E6
0.5,12,84.07533,1,Vero E6
0.5,13,85.47707,1,Vero E6
0.5,14,87.3111,1,Vero E6
0.5,15,89.0657,1,Vero E6
0.5,16,91.17927,1,Vero E6
0.5,17,94.67191,1,Vero E6
0.5,18,100.2754,1,Vero E6
0.5,19,105.4377,1,Vero E6
0.5,20,110.4694,1,Vero E6
0.5,21,116.8424,1,Vero E6
0.5,22,120.8081,1,Vero E6
0.5,23,126.1015,1,Vero E6
0.5,24,129.0061,1,Vero E6
0.5,25,132.7816,1,Vero E6
0.5,26,134.2139,1,Vero E6
0.5,27,134.0922,1,Vero E6
0.5,28,134.3214,1,Vero E6
0.5,29,134.5014,1,Vero E6
0.5,30,137.3853,1,Vero E6
0.5,31,140.3179,1,Vero E6
0.5,32,142.99,1,Vero E6
0.5,33,144.1767,1,Vero E6
0.5,34,146.6888,1,Vero E6
0.5,35,153.1168,1,Vero E6
0.5,36,160.2727,1,Vero E6
0.5,37,161.7459,1,Vero E6
0.5,38,169.1445,1,Vero E6
0.5,39,178.6203,1,Vero E6
0.5,40,190.9946,1,Vero E6
0.5,41,201.2193,1,Vero E6
0.5,42,218.185,1,Vero E6
0.5,43,231.0753,1,Vero E6
0.5,44,246.1885,1,Vero E6
0.5,45,267.0914,1,Vero E6
0.5,46,292.5629,1,Vero E6
0.5,47,309.8796,1,Vero E6
0.5,48,345.7578,1,Vero E6
0.5,0,0,2,Vero E6
0.5,1,0,2,Vero E6
0.5,2,0,2,Vero E6
0.5,3,0.2212841,2,Vero E6
0.5,4,9.735145,2,Vero E6
0.5,5,29.93547,2,Vero E6
0.5,6,48.06511,2,Vero E6
0.5,7,57.97267,2,Vero E6
0.5,8,65.64913,2,Vero E6
0.5,9,70.41805,2,Vero E6
0.5,10,74.85004,2,Vero E6
0.5,11,78.32261,2,Vero E6
0.5,12,80.2602,2,Vero E6
0.5,13,81.75189,2,Vero E6
0.5,14,82.51988,2,Vero E6
0.5,15,84.87373,2,Vero E6
0.5,16,87.23661,2,Vero E6
0.5,17,90.96372,2,Vero E6
0.5,18,94.12492,2,Vero E6
0.5,19,100.242,2,Vero E6
0.5,20,104.634,2,Vero E6
0.5,21,109.5705,2,Vero E6
0.5,22,115.9952,2,Vero E6
0.5,23,120.1668,2,Vero E6
0.5,24,123.8995,2,Vero E6
0.5,25,127.0556,2,Vero E6
0.5,26,125.7779,2,Vero E6
0.5,27,127.2297,2,Vero E6
0.5,28,125.1764,2,Vero E6
0.5,29,127.7856,2,Vero E6
0.5,30,130.6774,2,Vero E6
0.5,31,130.6547,2,Vero E6
0.5,32,133.5592,2,Vero E6
0.5,33,135.2614,2,Vero E6
0.5,34,139.2217,2,Vero E6
0.5,35,142.5745,2,Vero E6
0.5,36,147.5186,2,Vero E6
0.5,37,155.06,2,Vero E6
0.5,38,163.4754,2,Vero E6
0.5,39,170.835,2,Vero E6
0.5,40,182.6544,2,Vero E6
0.5,41,194.8398,2,Vero E6
0.5,42,208.6533,2,Vero E6
0.5,43,220.6851,2,Vero E6
0.5,44,240.0894,2,Vero E6
0.5,45,256.4391,2,Vero E6
0.5,46,277.6598,2,Vero E6
0.5,47,303.2627,2,Vero E6
0.5,48,322.213,2,Vero E6
0.5,0,0,3,Vero E6
0.5,1,0.1154177,3,Vero E6
0.5,2,0.1463861,3,Vero E6
0.5,3,0.5335935,3,Vero E6
0.5,4,10.60881,3,Vero E6
0.5,5,32.45176,3,Vero E6
0.5,6,50.30387,3,Vero E6
0.5,7,59.47259,3,Vero E6
0.5,8,64.9267,3,Vero E6
